sample_id,dataset_origin,audio_file,audio_path,transcript,emotion_label,depression_score
SAM_00000,Zenodo,a75-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a75-01-05-18.wav,Vocal recording sample,neutral,
SAM_00001,Zenodo,a24-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a24-01-05-18.wav,Vocal recording sample,neutral,
SAM_00002,Zenodo,s83-05-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/s83-05-05-18.wav,Vocal recording sample,neutral,
SAM_00003,Zenodo,f43-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f43-03-05-18.wav,Vocal recording sample,neutral,
SAM_00004,Zenodo,s50-05-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/s50-05-05-18.wav,Vocal recording sample,neutral,
SAM_00005,Zenodo,h34-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h34-04-05-18.wav,Vocal recording sample,neutral,
SAM_00006,Zenodo,a48-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a48-01-05-18.wav,Vocal recording sample,neutral,
SAM_00007,Zenodo,f86-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f86-03-05-18.wav,Vocal recording sample,neutral,
SAM_00008,Zenodo,f71-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f71-03-05-18.wav,Vocal recording sample,neutral,
SAM_00009,Zenodo,sr48-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr48-06-05-18.wav,Vocal recording sample,neutral,
SAM_00010,Zenodo,f83-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f83-03-05-18.wav,Vocal recording sample,neutral,
SAM_00011,Zenodo,d44-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d44-02-05-18.wav,Vocal recording sample,neutral,
SAM_00012,Zenodo,f14-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f14-03-05-18.wav,Vocal recording sample,neutral,
SAM_00013,Zenodo,d69-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d69-02-05-18.wav,Vocal recording sample,neutral,
SAM_00014,Zenodo,a45-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a45-01-05-18.wav,Vocal recording sample,neutral,
SAM_00015,Zenodo,sr85-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr85-06-05-18.wav,Vocal recording sample,neutral,
SAM_00016,Zenodo,d21-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d21-02-05-18.wav,Vocal recording sample,neutral,
SAM_00017,Zenodo,h69-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h69-04-05-18.wav,Vocal recording sample,neutral,
SAM_00018,Zenodo,d89-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d89-02-05-18.wav,Vocal recording sample,neutral,
SAM_00019,Zenodo,a7-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a7-01-05-18.wav,Vocal recording sample,neutral,
SAM_00020,Zenodo,sr105-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr105-06-05-18.wav,Vocal recording sample,neutral,
SAM_00021,Zenodo,sr78-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr78-06-05-18.wav,Vocal recording sample,neutral,
SAM_00022,Zenodo,sr80-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr80-06-05-18.wav,Vocal recording sample,neutral,
SAM_00023,Zenodo,h80-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h80-04-05-18.wav,Vocal recording sample,neutral,
SAM_00024,Zenodo,h54-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h54-04-05-18.wav,Vocal recording sample,neutral,
SAM_00025,Zenodo,d26-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d26-02-05-18.wav,Vocal recording sample,neutral,
SAM_00026,Zenodo,sr73-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr73-06-05-18.wav,Vocal recording sample,neutral,
SAM_00027,Zenodo,d71-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d71-02-05-18.wav,Vocal recording sample,neutral,
SAM_00028,Zenodo,h60-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h60-04-05-18.wav,Vocal recording sample,neutral,
SAM_00029,Zenodo,a96-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a96-01-05-18.wav,Vocal recording sample,neutral,
SAM_00030,Zenodo,h4-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h4-04-05-18.wav,Vocal recording sample,neutral,
SAM_00031,Zenodo,d49-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d49-02-05-18.wav,Vocal recording sample,neutral,
SAM_00032,Zenodo,sr44-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr44-06-05-18.wav,Vocal recording sample,neutral,
SAM_00033,Zenodo,d84-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d84-02-05-18.wav,Vocal recording sample,neutral,
SAM_00034,Zenodo,s52-05-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/s52-05-05-18.wav,Vocal recording sample,neutral,
SAM_00035,Zenodo,f28-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f28-03-05-18.wav,Vocal recording sample,neutral,
SAM_00036,Zenodo,f97-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f97-03-05-18.wav,Vocal recording sample,neutral,
SAM_00037,Zenodo,h85-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h85-04-05-18.wav,Vocal recording sample,neutral,
SAM_00038,Zenodo,sr97-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr97-06-05-18.wav,Vocal recording sample,neutral,
SAM_00039,Zenodo,d83-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d83-02-05-18.wav,Vocal recording sample,neutral,
SAM_00040,Zenodo,h24-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h24-04-05-18.wav,Vocal recording sample,neutral,
SAM_00041,Zenodo,sr26-06-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/sr26-06-05-18.wav,Vocal recording sample,neutral,
SAM_00042,Zenodo,f41-03-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/f41-03-05-18.wav,Vocal recording sample,neutral,
SAM_00043,Zenodo,s47-05-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/s47-05-05-18.wav,Vocal recording sample,neutral,
SAM_00044,Zenodo,a19-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a19-01-05-18.wav,Vocal recording sample,neutral,
SAM_00045,Zenodo,s56-05-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/s56-05-05-18.wav,Vocal recording sample,neutral,
SAM_00046,Zenodo,a62-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a62-01-05-18.wav,Vocal recording sample,neutral,
SAM_00047,Zenodo,h11-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h11-04-05-18.wav,Vocal recording sample,neutral,
SAM_00048,Zenodo,d54-02-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/d54-02-05-18.wav,Vocal recording sample,neutral,
SAM_00049,Zenodo,h41-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h41-04-05-18.wav,Vocal recording sample,neutral,
SAM_00050,Zenodo,a37-01-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/a37-01-05-18.wav,Vocal recording sample,neutral,
SAM_00051,Zenodo,h2-04-05-18.wav,zenodo_16210020/SITB-OSED/Actor_2Phulbani/h2-04-05-18.wav,Vocal recording sample,neutral,
